timestamp,system,device_type,device_name,model,dataset,batch_size,test_samples,accuracy,latency_ms_per_inf,throughput_inf_per_s,workload_metric,workload_per_inf,params
2026-07-31T07:35:27+00:00,macOS-26.5.2-arm64-arm-64bit-Mach-O,cpu,CPU (arm),LeNet,MNIST,128,10000,0.9871,0.0367,27214.6,MACs,416520,61706
2026-07-31T07:52:17+00:00,macOS-26.5.2-arm64-arm-64bit-Mach-O,cpu,CPU (arm),LeNet,MNIST,128,10000,0.9873,0.039,25648.5,MACs,416520,61706
2026-07-31T07:52:22+00:00,macOS-26.5.2-arm64-arm-64bit-Mach-O,mps,GPU (Apple MPS),LeNet,MNIST,128,10000,0.9873,0.0211,47341.2,MACs,416520,61706
