timestamp,system,device_type,device_name,model,dataset,batch_size,test_samples,accuracy,latency_ms_per_inf,throughput_inf_per_s,workload_metric,workload_per_inf,params
2026-07-31T00:00:00+00:00,macOS-AppleSilicon,cpu,CPU (Apple M-series),LeNet,MNIST,128,10000,0.9873,0.0390,25648.0,MACs,416520,61706
2026-07-31T00:00:00+00:00,macOS-AppleSilicon,mps,GPU (Apple MPS),LeNet,MNIST,128,10000,0.9873,0.0211,47341.0,MACs,416520,61706
2026-07-31T00:00:00+00:00,Linux-Colab,cpu,CPU (Colab vCPU),LeNet,MNIST,128,10000,0.9863,0.2655,3766.0,MACs,416520,61706
2026-07-31T00:00:00+00:00,Linux-Colab,cuda,GPU (NVIDIA T4),LeNet,MNIST,128,10000,0.9863,0.0127,78835.0,MACs,416520,61706
2026-07-31T08:00:00+00:00,macOS-AppleSilicon,cpu,CPU (Apple M-series),SpikingLeNet(T=25),MNIST,128,10000,0.9849,0.9027,1108.0,spikes,10546.5,61706
2026-07-31T08:00:00+00:00,macOS-AppleSilicon,mps,GPU (Apple MPS),SpikingLeNet(T=25),MNIST,128,10000,0.9849,0.1855,5392.0,spikes,10546.5,61706
2026-07-31T08:00:00+00:00,Linux-Colab,cpu,CPU (Colab vCPU),SpikingLeNet(T=25),MNIST,128,10000,0.9850,2.9772,336.0,spikes,10464.6,61706
2026-07-31T08:00:00+00:00,Linux-Colab,cuda,GPU (NVIDIA T4),SpikingLeNet(T=25),MNIST,128,10000,0.9850,0.7511,1331.0,spikes,10464.6,61706
